Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Async,Use tokio + axum + tower,"Standard modern Rust stack for HTTP services","#[tokio::main(flavor = ""multi_thread"")]; axum::Router with tower middleware","Mix tokio + async-std runtimes","let app = Router::new().route(""/u/:id"", get(get_user))","// rolling your own runtime",High,https://docs.rs/axum/
Async,Don't .block_on inside async fn,"Calling block_on inside an async runtime deadlocks","Stay async; use spawn_blocking for sync work","Runtime::new().unwrap().block_on(...) inside async","tokio::task::spawn_blocking(|| heavy_sync())","rt.block_on(some_future) // inside an async fn",Critical,https://docs.rs/tokio/latest/tokio/runtime/struct.Runtime.html
Async,Cancellation via CancellationToken / select!,"Use tokio_util CancellationToken or tokio::select! for graceful shutdown","Wire signal::ctrl_c → token.cancel() → tasks observe","Force-kill tasks","tokio::select! { _ = ctrl_c() => token.cancel(), _ = serve() => {} }","// no shutdown handling",High,https://docs.rs/tokio-util/latest/tokio_util/sync/struct.CancellationToken.html
Errors,Use thiserror for libs, anyhow for apps,"thiserror for typed library errors; anyhow for top-level app errors","#[derive(thiserror::Error)] for crate errors; -> Result<(), anyhow::Error> in main","Use String as an error type","#[error(""user not found"")] NotFound","Err(""not found"".to_string())",Medium,https://github.com/dtolnay/thiserror
Errors,Map errors at HTTP boundary,"Implement IntoResponse for your error type","impl IntoResponse for AppError { ... }","Bubble raw anyhow::Error to clients","impl IntoResponse for AppError { fn into_response(self) -> Response { (StatusCode::..., body).into_response() }}","// .unwrap() in handlers",High,https://docs.rs/axum/latest/axum/response/trait.IntoResponse.html
HTTP client,Use reqwest with a singleton Client,"Client owns a connection pool — share it","static CLIENT: Lazy<Client> = Lazy::new(|| Client::builder()... );","Build a new Client per request","CLIENT.get(url).send().await?","Client::new().get(url).send().await?",High,https://docs.rs/reqwest/latest/reqwest/
HTTP client,Set timeouts & retries (reqwest_middleware),"reqwest's default has no total timeout","Client::builder().timeout(Duration::from_secs(2)).connect_timeout(...).build()","Client::new() with no timeout","Client::builder().timeout(Duration::from_secs(2)).build()?","Client::new()",Critical,https://docs.rs/reqwest/latest/reqwest/struct.ClientBuilder.html#method.timeout
DB,Use sqlx (compile-time checked queries) or sea-orm,"sqlx checks SQL against a real DB at compile time","sqlx::query_as!(User, ""SELECT * FROM users WHERE id = $1"", id).fetch_one(&pool)","Use raw String concatenation","sqlx::query!(""INSERT INTO ...""...).execute(&pool).await?","format!(""... id={}"", id)",High,https://docs.rs/sqlx/
Concurrency,Bounded channels + backpressure,"Tokio mpsc with capacity gives natural backpressure","mpsc::channel(N) and propagate Err on closed","Unbounded channels in production paths","let (tx, rx) = mpsc::channel(1024)","mpsc::unbounded_channel() // for high-rate stream",High,https://docs.rs/tokio/latest/tokio/sync/mpsc/index.html
Tracing,tracing + tracing-subscriber + OpenTelemetry,"#[tracing::instrument] traces functions; OTel exports to Tempo/Jaeger","Subscriber init at boot with env-filter","println!/dbg! in prod","tracing::info!(target = ""order"", id = %order_id, ""created"")","println!(""order created {}"", order_id)",Medium,https://docs.rs/tracing/
Tracing,Use tokio-console for runtime diagnostics,"Diagnose stuck tasks / busy resources at runtime","--cfg tokio_unstable + console_subscriber::init()","Guess via logs why a task is stuck","RUSTFLAGS=""--cfg tokio_unstable"" with console-subscriber init","// no observability",Medium,https://docs.rs/tokio-console/
Build,cargo workspaces for multi-crate repos,"Build & version multiple crates together","[workspace] members = [...]","Independent crates with duplicated versions","# Cargo.toml [workspace] members = [""api"", ""domain""]","# top-level Cargo.toml with one crate per repo",Medium,https://doc.rust-lang.org/cargo/reference/workspaces.html
Build,Pin rust-toolchain.toml,"Reproducible builds across devs/CI","'rust-toolchain.toml' with 'channel = ""1.78""'","'rustup default stable'","[toolchain] channel = ""1.78"" components = [""clippy"", ""rustfmt""]","stable / nightly drift",Medium,https://rust-lang.github.io/rustup/overrides.html
Lints,clippy + rustfmt in CI,"Standard quality gate","cargo clippy --all-targets -- -D warnings","Skip clippy in CI","cargo clippy --all-targets --all-features -- -D warnings","# nothing in CI",High,https://doc.rust-lang.org/clippy/
Performance,Use rustls (not openssl) and h2 by default,"rustls is pure-Rust, no system openssl","reqwest::Client::builder().use_rustls_tls()","Mix openssl-sys static link","Client::builder().use_rustls_tls().build()?","Client::builder().use_native_tls().build()?",Medium,https://docs.rs/rustls/
Testing,Async tests with #[tokio::test],"Built-in async test attribute","#[tokio::test(flavor = ""multi_thread"")]","#[test] on async functions","#[tokio::test] async fn it_works() { ... }","#[test] async fn ... // wont compile / wont schedule",Medium,https://docs.rs/tokio/latest/tokio/attr.test.html
Testing,Property tests with proptest,"Find edge cases random examples never would","proptest! { #[test] fn parse_roundtrip(s in any::<String>()) { ... }}","Only example-based tests for parsers","proptest! { ... }","// hand-picked happy-path inputs only",Medium,https://docs.rs/proptest/
